Ensembl Gene ID	Unigene ID
ENSG00000000419	
ENSG00000000457	Hs.435560
ENSG00000000457	Hs.659218
ENSG00000000460	Hs.443551
ENSG00000001084	Hs.596571
ENSG00000001084	Hs.623046
ENSG00000001084	Hs.654465
ENSG00000001167	Hs.10441
ENSG00000001460	Hs.403187
ENSG00000001460	Hs.680118
ENSG00000001460	Hs.689256
ENSG00000001497	Hs.522675
ENSG00000001497	Hs.721716
ENSG00000001626	Hs.604618
ENSG00000001626	Hs.489786
ENSG00000001626	Hs.661104
ENSG00000002016	Hs.410355
ENSG00000002330	
ENSG00000002586	Hs.680667
ENSG00000002822	
ENSG00000003056	Hs.134084
ENSG00000003056	Hs.685756
ENSG00000003249	Hs.595996
ENSG00000003402	Hs.565356
ENSG00000003402	Hs.609832
ENSG00000003402	Hs.635585
ENSG00000003402	Hs.639017
ENSG00000003402	Hs.639129
ENSG00000003402	Hs.739737
ENSG00000003509	Hs.433466
ENSG00000004139	Hs.743510
ENSG00000004142	Hs.241543
ENSG00000004455	Hs.470907
ENSG00000004766	Hs.202424
ENSG00000004779	
ENSG00000004838	Hs.526735
ENSG00000004897	Hs.602766
ENSG00000004897	Hs.597011
ENSG00000004897	Hs.574664
ENSG00000004897	Hs.463295
ENSG00000004897	Hs.734423
ENSG00000004961	Hs.211571
ENSG00000005194	Hs.4900
ENSG00000005302	Hs.655288
ENSG00000005448	
ENSG00000005486	Hs.488827
ENSG00000005810	Hs.591221
ENSG00000005810	Hs.151411
ENSG00000005955	Hs.604188
ENSG00000005955	Hs.514116
ENSG00000005955	Hs.624642
ENSG00000005955	Hs.668848
ENSG00000005955	Hs.670482
ENSG00000006007	Hs.598067
ENSG00000006007	Hs.512607
ENSG00000006007	Hs.623801
ENSG00000006015	Hs.625061
ENSG00000006015	Hs.639518
ENSG00000006015	Hs.655317
ENSG00000006042	Hs.3447
ENSG00000006042	Hs.667237
ENSG00000006042	Hs.714525
ENSG00000006114	Hs.594647
ENSG00000006128	Hs.601895
ENSG00000006128	Hs.2563
ENSG00000006210	Hs.531668
ENSG00000006282	Hs.103147
ENSG00000006282	Hs.739755
ENSG00000006327	
ENSG00000006555	Hs.16230
ENSG00000006625	
ENSG00000006695	Hs.462278
ENSG00000006695	Hs.640551
ENSG00000006712	Hs.466714
ENSG00000006715	Hs.605850
ENSG00000006715	Hs.148721
ENSG00000006715	Hs.638126
ENSG00000006744	Hs.434232
ENSG00000007080	
ENSG00000007202	Hs.151761
ENSG00000007237	Hs.462214
ENSG00000007237	Hs.618996
ENSG00000007312	Hs.89575
ENSG00000007376	Hs.101742
ENSG00000007520	Hs.134846
ENSG00000007541	Hs.744949
ENSG00000007923	Hs.462640
ENSG00000008018	
ENSG00000008130	Hs.654792
ENSG00000008226	Hs.714499
ENSG00000008311	Hs.156738
ENSG00000008517	
ENSG00000008838	Hs.462983
ENSG00000008952	Hs.593127
ENSG00000008952	Hs.592561
ENSG00000008952	Hs.629470
ENSG00000008952	Hs.744859
ENSG00000008988	Hs.645656
ENSG00000009307	Hs.69855
ENSG00000009307	Hs.731984
ENSG00000009307	Hs.737558
ENSG00000009765	Hs.593957
ENSG00000009765	Hs.544367
ENSG00000009765	Hs.310225
ENSG00000009844	Hs.605251
ENSG00000009844	Hs.603025
ENSG00000009844	Hs.595041
ENSG00000009844	Hs.593536
ENSG00000009844	Hs.431367
ENSG00000009844	Hs.12565
ENSG00000009844	Hs.623074
ENSG00000010072	Hs.608253
ENSG00000010072	Hs.623990
ENSG00000010165	Hs.494705
ENSG00000010165	Hs.642424
ENSG00000010165	Hs.737211
ENSG00000010244	Hs.500775
ENSG00000010244	Hs.612377
ENSG00000010244	Hs.636112
ENSG00000010244	Hs.658344
ENSG00000010244	Hs.670238
ENSG00000010244	Hs.694378
ENSG00000010244	Hs.716993
ENSG00000010244	Hs.743764
ENSG00000010292	Hs.5719
ENSG00000010361	
ENSG00000010610	
ENSG00000011114	Hs.607884
ENSG00000011114	Hs.596502
ENSG00000011114	Hs.525549
ENSG00000011114	Hs.637026
ENSG00000011143	Hs.408843
ENSG00000011201	Hs.606153
ENSG00000011201	Hs.603939
ENSG00000011201	Hs.521869
ENSG00000011260	Hs.709327
ENSG00000011275	Hs.487458
ENSG00000011295	Hs.462316
ENSG00000011376	Hs.526975
ENSG00000011376	Hs.613250
ENSG00000011376	Hs.674494
ENSG00000011422	
ENSG00000011426	Hs.62180
ENSG00000011523	Hs.683033
ENSG00000011523	Hs.709257
ENSG00000011600	Hs.515369
ENSG00000011638	Hs.258212
ENSG00000012048	Hs.194143
ENSG00000012048	Hs.622171
ENSG00000012061	Hs.435981
ENSG00000012174	Hs.443490
ENSG00000012174	Hs.645203
ENSG00000013275	Hs.211594
ENSG00000013297	Hs.599737
ENSG00000013297	Hs.407600
ENSG00000013297	Hs.664081
ENSG00000013364	Hs.600748
ENSG00000013364	Hs.632177
ENSG00000013374	Hs.647082
ENSG00000013375	Hs.661665
ENSG00000013561	Hs.508993
ENSG00000013561	Hs.483616
ENSG00000013619	Hs.20136
ENSG00000014123	
ENSG00000014138	Hs.201897
ENSG00000014138	Hs.659967
ENSG00000014824	Hs.479634
ENSG00000014824	Hs.201937
ENSG00000014919	Hs.28326
ENSG00000014919	Hs.718750
ENSG00000015475	Hs.591054
ENSG00000016391	Hs.126688
ENSG00000016391	Hs.659586
ENSG00000016391	Hs.729536
ENSG00000016391	Hs.741499
ENSG00000018610	Hs.248572
ENSG00000018610	Hs.635597
ENSG00000018699	Hs.468125
ENSG00000018699	Hs.664352
ENSG00000019505	Hs.436643
ENSG00000019582	Hs.436568
ENSG00000020129	Hs.600737
ENSG00000020129	Hs.121870
ENSG00000020426	Hs.509523
ENSG00000020922	Hs.192649
ENSG00000022277	Hs.517134
ENSG00000022840	Hs.442798
ENSG00000022840	Hs.619394
ENSG00000022840	Hs.630749
ENSG00000022976	Hs.599639
ENSG00000022976	Hs.743359
ENSG00000023191	Hs.530687
ENSG00000023228	Hs.598436
ENSG00000023228	Hs.597574
ENSG00000023228	Hs.471207
ENSG00000023228	Hs.619013
ENSG00000023287	Hs.196102
ENSG00000023287	Hs.702264
ENSG00000023608	Hs.603981
ENSG00000023608	Hs.179312
ENSG00000023697	Hs.39429
ENSG00000023909	Hs.606719
ENSG00000023909	Hs.315562
ENSG00000023909	Hs.711318
ENSG00000025708	Hs.180903
ENSG00000025708	Hs.685254
ENSG00000025770	Hs.730607
ENSG00000025796	Hs.603080
ENSG00000025796	Hs.26904
ENSG00000025796	Hs.644924
ENSG00000025796	Hs.716394
ENSG00000026103	Hs.623093
ENSG00000027001	Hs.507498
ENSG00000027697	
ENSG00000028203	Hs.601681
ENSG00000028203	Hs.596229
ENSG00000028203	Hs.24135
ENSG00000029364	Hs.607572
ENSG00000029364	Hs.727286
ENSG00000029559	Hs.518726
ENSG00000030066	Hs.643526
ENSG00000030066	Hs.744107
ENSG00000030582	Hs.514220
ENSG00000030582	Hs.740128
ENSG00000031691	Hs.602049
ENSG00000031691	Hs.88663
ENSG00000032389	
ENSG00000032742	Hs.187376
ENSG00000033030	Hs.37706
ENSG00000033030	Hs.699539
ENSG00000033050	Hs.654958
ENSG00000033170	Hs.597649
ENSG00000033170	Hs.627697
ENSG00000034239	Hs.23245
ENSG00000034239	Hs.622030
ENSG00000034533	Hs.100878
ENSG00000034533	Hs.661953
ENSG00000034693	Hs.7277
ENSG00000035115	Hs.515951
ENSG00000035115	Hs.611382
ENSG00000035115	Hs.667526
ENSG00000035115	Hs.668560
ENSG00000035115	Hs.691102
ENSG00000035115	Hs.743645
ENSG00000035141	Hs.540772
ENSG00000035141	Hs.516077
ENSG00000035928	Hs.595029
ENSG00000035928	Hs.507475
ENSG00000036054	Hs.605569
ENSG00000036054	Hs.477003
ENSG00000036473	Hs.117050
ENSG00000036549	Hs.480506
ENSG00000036828	Hs.435615
ENSG00000037474	Hs.593879
ENSG00000037474	Hs.481526
ENSG00000037474	Hs.620888
ENSG00000037637	Hs.604552
ENSG00000037637	Hs.522384
ENSG00000037637	Hs.612679
ENSG00000037637	Hs.642443
ENSG00000037757	Hs.712891
ENSG00000037897	
ENSG00000038274	Hs.54642
